Year,State,Crop_Type,Area_Hectares,Yield_Tonnes,Yield_per_Hectare,Season,Climate_Zone,Soil_Type,Irrigation_Type,Fertilizer_Usage_kg,Precipitation_mm,Temperature_Celsius,Pest_Infestation_Level,Disease_Incidence,Harvest_Date,Storage_Loss_Percentage,Market_Price_per_Tonne,Total_Revenue
2020,California,Corn,125000,875000,7.0,Summer,Mediterranean,Clay Loam,Drip Irrigation,250,450,28.5,Low,Low,2020-09-15,2.5,180,157500000
2020,California,Wheat,85000,340000,4.0,Winter,Mediterranean,Sandy Loam,Sprinkler,180,380,22.0,Medium,Low,2020-06-20,1.8,220,74800000
2020,California,Soybeans,95000,285000,3.0,Summer,Mediterranean,Clay Loam,Drip Irrigation,200,420,26.0,Low,Medium,2020-10-10,2.0,350,99750000
2020,Texas,Corn,180000,1080000,6.0,Summer,Subtropical,Clay,Flood Irrigation,220,600,32.0,High,Medium,2020-09-20,3.2,175,189000000
2020,Texas,Cotton,120000,360000,3.0,Summer,Subtropical,Sandy,Flood Irrigation,150,550,30.5,Medium,High,2020-10-05,1.5,280,100800000
2020,Iowa,Corn,350000,2450000,7.0,Summer,Continental,Loam,Flood Irrigation,280,700,25.0,Low,Low,2020-09-25,2.0,170,416500000
2020,Iowa,Soybeans,280000,840000,3.0,Summer,Continental,Loam,Flood Irrigation,220,680,24.5,Low,Low,2020-10-15,1.8,340,285600000
2020,Illinois,Corn,320000,2240000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,275,720,26.0,Medium,Low,2020-09-28,2.2,172,385280000
2020,Illinois,Soybeans,250000,750000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,225,700,25.5,Medium,Low,2020-10-12,1.9,345,258750000
2020,Nebraska,Corn,280000,1960000,7.0,Summer,Continental,Sandy Loam,Flood Irrigation,260,650,24.0,Low,Low,2020-09-22,2.1,168,329280000
2020,Nebraska,Wheat,95000,380000,4.0,Winter,Continental,Loam,Flood Irrigation,190,400,20.0,Medium,Low,2020-07-05,1.7,225,85500000
2020,Kansas,Wheat,180000,720000,4.0,Winter,Continental,Clay,Flood Irrigation,185,450,21.5,Medium,Medium,2020-07-10,2.0,230,165600000
2020,Kansas,Corn,150000,1050000,7.0,Summer,Continental,Clay,Flood Irrigation,270,680,26.5,Low,Low,2020-09-18,2.3,170,178500000
2020,Minnesota,Corn,200000,1400000,7.0,Summer,Continental,Loam,Flood Irrigation,285,750,23.0,Low,Low,2020-09-30,2.0,169,236600000
2020,Minnesota,Soybeans,160000,480000,3.0,Summer,Continental,Loam,Flood Irrigation,230,720,22.5,Low,Low,2020-10-08,1.6,350,168000000
2020,Indiana,Corn,180000,1260000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,275,700,25.5,Medium,Low,2020-09-26,2.1,171,215460000
2020,Indiana,Soybeans,140000,420000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,220,680,25.0,Medium,Low,2020-10-10,1.8,348,146160000
2020,Ohio,Corn,160000,1120000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,270,720,26.0,Medium,Low,2020-09-24,2.2,173,193760000
2020,Ohio,Soybeans,120000,360000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,225,700,25.5,Medium,Low,2020-10-08,1.9,346,124560000
2020,Missouri,Corn,140000,980000,7.0,Summer,Continental,Clay,Flood Irrigation,265,750,27.0,High,Medium,2020-09-20,2.5,174,170520000
2020,Missouri,Soybeans,110000,330000,3.0,Summer,Continental,Clay,Flood Irrigation,215,720,26.5,High,Medium,2020-10-05,2.1,344,113520000
2020,North Dakota,Wheat,220000,880000,4.0,Winter,Continental,Loam,Flood Irrigation,180,350,18.0,Low,Low,2020-07-15,1.5,240,211200000
2020,North Dakota,Corn,120000,840000,7.0,Summer,Continental,Loam,Flood Irrigation,280,600,22.0,Low,Low,2020-09-28,1.8,166,139440000
2020,South Dakota,Corn,130000,910000,7.0,Summer,Continental,Loam,Flood Irrigation,275,650,23.5,Low,Low,2020-09-26,1.9,167,151970000
2020,South Dakota,Wheat,85000,340000,4.0,Winter,Continental,Loam,Flood Irrigation,185,400,19.5,Medium,Low,2020-07-12,1.6,238,80920000
2020,Wisconsin,Corn,150000,1050000,7.0,Summer,Continental,Loam,Flood Irrigation,280,750,24.0,Low,Low,2020-09-29,2.0,170,178500000
2020,Wisconsin,Soybeans,120000,360000,3.0,Summer,Continental,Loam,Flood Irrigation,225,720,23.5,Low,Low,2020-10-10,1.7,352,126720000
2020,Michigan,Corn,120000,840000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,270,800,25.0,Medium,Low,2020-09-25,2.1,172,144480000
2020,Michigan,Soybeans,95000,285000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,220,780,24.5,Medium,Low,2020-10-08,1.8,350,99750000
2020,Colorado,Wheat,140000,560000,4.0,Winter,Continental,Sandy,Flood Irrigation,170,300,19.0,Low,Low,2020-07-08,1.4,245,137200000
2020,Colorado,Corn,85000,595000,7.0,Summer,Continental,Sandy,Flood Irrigation,260,500,24.0,Low,Low,2020-09-22,1.9,165,98175000
2020,Oklahoma,Wheat,160000,640000,4.0,Winter,Subtropical,Clay,Flood Irrigation,175,450,20.5,Medium,Medium,2020-06-25,2.2,235,150400000
2020,Oklahoma,Cotton,95000,285000,3.0,Summer,Subtropical,Clay,Flood Irrigation,140,600,29.0,High,High,2020-10-12,2.5,275,78375000
2020,Arkansas,Rice,120000,720000,6.0,Summer,Subtropical,Clay,Flood Irrigation,200,800,28.0,Medium,Medium,2020-09-15,2.8,320,230400000
2020,Arkansas,Soybeans,140000,420000,3.0,Summer,Subtropical,Clay,Flood Irrigation,210,780,27.5,High,Medium,2020-10-05,2.2,342,143640000
2020,Louisiana,Rice,95000,570000,6.0,Summer,Subtropical,Clay,Flood Irrigation,195,850,29.0,High,High,2020-09-10,3.0,325,185250000
2020,Louisiana,Soybeans,110000,330000,3.0,Summer,Subtropical,Clay,Flood Irrigation,205,820,28.5,High,High,2020-10-02,2.4,340,112200000
2020,Mississippi,Soybeans,120000,360000,3.0,Summer,Subtropical,Clay,Flood Irrigation,200,800,28.0,High,Medium,2020-10-08,2.3,338,121680000
2020,Mississippi,Cotton,85000,255000,3.0,Summer,Subtropical,Clay,Flood Irrigation,135,780,29.5,High,High,2020-10-15,2.6,270,68850000
2020,Tennessee,Soybeans,100000,300000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,195,750,27.0,Medium,Medium,2020-10-12,2.1,340,102000000
2020,Tennessee,Corn,95000,665000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,265,720,26.5,Medium,Low,2020-09-18,2.2,169,112385000
2020,Kentucky,Corn,110000,770000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,270,750,26.0,Medium,Low,2020-09-20,2.0,170,130900000
2020,Kentucky,Soybeans,85000,255000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,200,720,25.5,Medium,Low,2020-10-10,1.9,345,87975000
2021,California,Corn,130000,910000,7.0,Summer,Mediterranean,Clay Loam,Drip Irrigation,255,460,29.0,Low,Low,2021-09-18,2.3,185,166750000
2021,California,Wheat,90000,360000,4.0,Winter,Mediterranean,Sandy Loam,Sprinkler,185,390,22.5,Medium,Low,2021-06-25,1.7,225,81000000
2021,California,Soybeans,100000,300000,3.0,Summer,Mediterranean,Clay Loam,Drip Irrigation,205,430,26.5,Low,Medium,2021-10-15,1.9,355,106500000
2021,Texas,Corn,185000,1110000,6.0,Summer,Subtropical,Clay,Flood Irrigation,225,610,32.5,High,Medium,2021-09-25,3.0,178,197580000
2021,Texas,Cotton,125000,375000,3.0,Summer,Subtropical,Sandy,Flood Irrigation,155,560,31.0,Medium,High,2021-10-10,1.4,285,106875000
2021,Iowa,Corn,355000,2485000,7.0,Summer,Continental,Loam,Flood Irrigation,285,710,25.5,Low,Low,2021-09-30,1.9,172,422450000
2021,Iowa,Soybeans,285000,855000,3.0,Summer,Continental,Loam,Flood Irrigation,225,690,24.8,Low,Low,2021-10-20,1.7,345,294975000
2021,Illinois,Corn,325000,2275000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,280,730,26.5,Medium,Low,2021-10-03,2.1,175,398125000
2021,Illinois,Soybeans,255000,765000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,230,710,25.8,Medium,Low,2021-10-17,1.8,350,267750000
2021,Nebraska,Corn,285000,1995000,7.0,Summer,Continental,Sandy Loam,Flood Irrigation,265,660,24.5,Low,Low,2021-09-27,2.0,170,339150000
2021,Nebraska,Wheat,98000,392000,4.0,Winter,Continental,Loam,Flood Irrigation,195,410,20.5,Medium,Low,2021-07-10,1.6,228,89376000
2021,Kansas,Wheat,185000,740000,4.0,Winter,Continental,Clay,Flood Irrigation,190,460,21.8,Medium,Medium,2021-07-15,1.9,235,173900000
2021,Kansas,Corn,155000,1085000,7.0,Summer,Continental,Clay,Flood Irrigation,275,690,26.8,Low,Low,2021-09-23,2.2,172,186620000
2021,Minnesota,Corn,205000,1435000,7.0,Summer,Continental,Loam,Flood Irrigation,290,760,23.5,Low,Low,2021-10-05,1.9,171,245385000
2021,Minnesota,Soybeans,165000,495000,3.0,Summer,Continental,Loam,Flood Irrigation,235,730,22.8,Low,Low,2021-10-13,1.5,355,175725000
2021,Indiana,Corn,185000,1295000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,280,710,25.8,Medium,Low,2021-10-01,2.0,173,224035000
2021,Indiana,Soybeans,145000,435000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,225,690,25.3,Medium,Low,2021-10-15,1.7,352,153120000
2021,Ohio,Corn,165000,1155000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,275,730,26.3,Medium,Low,2021-09-29,2.1,176,203280000
2021,Ohio,Soybeans,125000,375000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,230,710,25.8,Medium,Low,2021-10-13,1.8,350,131250000
2021,Missouri,Corn,145000,1015000,7.0,Summer,Continental,Clay,Flood Irrigation,270,760,27.3,High,Medium,2021-09-25,2.4,177,179655000
2021,Missouri,Soybeans,115000,345000,3.0,Summer,Continental,Clay,Flood Irrigation,220,730,26.8,High,Medium,2021-10-10,2.0,348,120060000
2021,North Dakota,Wheat,225000,900000,4.0,Winter,Continental,Loam,Flood Irrigation,185,360,18.3,Low,Low,2021-07-20,1.4,245,220500000
2021,North Dakota,Corn,125000,875000,7.0,Summer,Continental,Loam,Flood Irrigation,285,610,22.3,Low,Low,2021-10-03,1.7,168,147000000
2021,South Dakota,Corn,135000,945000,7.0,Summer,Continental,Loam,Flood Irrigation,280,660,23.8,Low,Low,2021-10-01,1.8,169,159705000
2021,South Dakota,Wheat,88000,352000,4.0,Winter,Continental,Loam,Flood Irrigation,190,410,19.8,Medium,Low,2021-07-17,1.5,242,85184000
2021,Wisconsin,Corn,155000,1085000,7.0,Summer,Continental,Loam,Flood Irrigation,285,760,24.3,Low,Low,2021-10-04,1.9,172,186620000
2021,Wisconsin,Soybeans,125000,375000,3.0,Summer,Continental,Loam,Flood Irrigation,230,730,23.8,Low,Low,2021-10-15,1.6,356,133500000
2021,Michigan,Corn,125000,875000,7.0,Summer,Continental,Clay Loam,Flood Irrigation,275,810,25.3,Medium,Low,2021-09-30,2.0,175,153125000
2021,Michigan,Soybeans,98000,294000,3.0,Summer,Continental,Clay Loam,Flood Irrigation,225,790,24.8,Medium,Low,2021-10-13,1.7,355,104370000
2021,Colorado,Wheat,145000,580000,4.0,Winter,Continental,Sandy,Flood Irrigation,175,310,19.3,Low,Low,2021-07-13,1.3,250,145000000
2021,Colorado,Corn,88000,616000,7.0,Summer,Continental,Sandy,Flood Irrigation,265,510,24.3,Low,Low,2021-09-27,1.8,167,102872000
2021,Oklahoma,Wheat,165000,660000,4.0,Winter,Subtropical,Clay,Flood Irrigation,180,460,20.8,Medium,Medium,2021-06-30,2.1,240,158400000
2021,Oklahoma,Cotton,98000,294000,3.0,Summer,Subtropical,Clay,Flood Irrigation,145,610,29.3,High,High,2021-10-17,2.4,280,82320000
2021,Arkansas,Rice,125000,750000,6.0,Summer,Subtropical,Clay,Flood Irrigation,205,810,28.3,Medium,Medium,2021-09-20,2.7,325,243750000
2021,Arkansas,Soybeans,145000,435000,3.0,Summer,Subtropical,Clay,Flood Irrigation,215,790,27.8,High,Medium,2021-10-10,2.1,347,150945000
2021,Louisiana,Rice,98000,588000,6.0,Summer,Subtropical,Clay,Flood Irrigation,200,860,29.3,High,High,2021-09-15,2.9,330,194040000
2021,Louisiana,Soybeans,115000,345000,3.0,Summer,Subtropical,Clay,Flood Irrigation,210,830,28.8,High,High,2021-10-07,2.3,345,119025000
2021,Mississippi,Soybeans,125000,375000,3.0,Summer,Subtropical,Clay,Flood Irrigation,205,810,28.3,High,Medium,2021-10-13,2.2,342,128250000
2021,Mississippi,Cotton,88000,264000,3.0,Summer,Subtropical,Clay,Flood Irrigation,140,790,29.8,High,High,2021-10-20,2.5,275,72600000
2021,Tennessee,Soybeans,105000,315000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,200,760,27.3,Medium,Medium,2021-10-17,2.0,345,108675000
2021,Tennessee,Corn,98000,686000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,270,730,26.8,Medium,Low,2021-09-23,2.1,171,117306000
2021,Kentucky,Corn,115000,805000,7.0,Summer,Subtropical,Clay Loam,Flood Irrigation,275,760,26.3,Medium,Low,2021-09-25,1.9,172,138460000
2021,Kentucky,Soybeans,88000,264000,3.0,Summer,Subtropical,Clay Loam,Flood Irrigation,205,730,25.8,Medium,Low,2021-10-15,1.8,350,92400000